nli_id,nli_url,heb_heading,rom_heading,wikidata,wikidata_url,wikidata_says,wikidata_label,kima_id,kima_url,kima_heb,kima_rom,kima_location_type_id,kima_location_type_meaning,distance_km,feature_extent_km,classifier_bucket,classifier_bucket_meaning,period,proposed_he_type,proposed_heb_heading,alt_form_parenthetical,alt_form_comma,form_note,kima_fallback_location_type_id,kima_fallback_meaning,why
987007562835605171,https://www.nli.org.il/he/authorities/987007562835605171,דראווה,Drava River,Q171009,https://www.wikidata.org/wiki/Q171009,river / transboundary river / border river,Drava,71176,https://data.geo-kima.org/Places/Details/71176,דראווה,Drava River,0,no type recorded in Kima,530.5,720.0,extended-feature,both points lie on the feature — no real move,20250212-20250218,נהר,נהר דראווה,דראווה (נהר),"דראווה, נהר",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007533595705171,https://www.nli.org.il/he/authorities/987007533595705171,לאנואסטקדו,Llano Estacado,Q1052758,https://www.wikidata.org/wiki/Q1052758,mesa / plain,Llano Estacado,69917,https://data.geo-kima.org/Places/Details/69917,לאנואסטקדו,Llano Estacado,0,no type recorded in Kima,93.3,351.4,extended-feature,both points lie on the feature — no real move,20250212-20250218,מישור,מישור לאנואסטקדו,לאנואסטקדו (מישור),"לאנואסטקדו, מישור",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a mesa; the Hebrew heading does not say what kind of entity it is
987007537522105171,https://www.nli.org.il/he/authorities/987007537522105171,הפארק הלאומי גרמבה (קונגו),Parc national de la Garamba (Congo),Q308893,https://www.wikidata.org/wiki/Q308893,national park,Garamba National Park,77735,https://data.geo-kima.org/Places/Details/77735,הפארק הלאומי גרמבה (קונגו),Parc national de la Garamba (Congo),0,no type recorded in Kima,33.6,79.1,extended-feature,both points lie on the feature — no real move,20250618-20250624,גן לאומי,גן לאומי הפארק הלאומי גרמבה (קונגו),הפארק הלאומי גרמבה (קונגו : גן לאומי),"הפארק הלאומי גרמבה, גן לאומי (קונגו)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a national park; the Hebrew heading does not say what kind of entity it is
987007291071505171,https://www.nli.org.il/he/authorities/987007291071505171,גרנד קולי תחתון (וושינגטון),Lower Grand Coulee (Wash.),Q1773219,https://www.wikidata.org/wiki/Q1773219,valley / protected area / valley,Grand Coulee,75312,https://data.geo-kima.org/Places/Details/75312,גרנד קולי תחתון (וושינגטון),Lower Grand Coulee (Wash.),0,no type recorded in Kima,28.9,,extended-feature,both points lie on the feature — no real move,20250909-20250915,עמק,עמק גרנד קולי תחתון (וושינגטון),גרנד קולי תחתון (וושינגטון : עמק),"גרנד קולי תחתון, עמק (וושינגטון)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a valley; the Hebrew heading does not say what kind of entity it is
987007282539105171,https://www.nli.org.il/he/authorities/987007282539105171,בוהמיה (צ'כיה),Bohemia (Czech Republic),Q39193,https://www.wikidata.org/wiki/Q39193,Czech lands / historical region / realm / state in the Holy Roman Empire / region / cultural region,Bohemia,1869,https://data.geo-kima.org/Places/Details/1869,בוהמיה (צ'כיה),Bohemia (Czech Republic),1,settlement / point feature,113.3,257.5,extended-feature,both points lie on the feature — no real move,20260115-20260121,אזור,אזור בוהמיה (צ'כיה),בוהמיה (צ'כיה : אזור),"בוהמיה, אזור (צ'כיה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a Czech lands; the Hebrew heading does not say what kind of entity it is
987007551210205171,https://www.nli.org.il/he/authorities/987007551210205171,סלנגה (מונגוליה ורוסיה),Selenga River (Mongolia and Russia),Q75745,https://www.wikidata.org/wiki/Q75745,river,Selenga,76353,https://data.geo-kima.org/Places/Details/76353,סלנגה (מונגוליה ורוסיה),Selenga River (Mongolia and Russia),0,no type recorded in Kima,516.5,1024.0,extended-feature,both points lie on the feature — no real move,20260115-20260121,נהר,נהר סלנגה (מונגוליה ורוסיה),סלנגה (מונגוליה ורוסיה : נהר),"סלנגה, נהר (מונגוליה ורוסיה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007283467705171,https://www.nli.org.il/he/authorities/987007283467705171,האזור הקריבי,Caribbean Area,Q664609,https://www.wikidata.org/wiki/Q664609,transcontinental region / archipelago,,1157,https://data.geo-kima.org/Places/Details/1157,האזור הקריבי,Caribbean Area,0,no type recorded in Kima,143.4,,extended-feature,both points lie on the feature — no real move,20260129-20260204,איים,איים האזור הקריבי,האזור הקריבי (איים),"האזור הקריבי, איים",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a transcontinental region; the Hebrew heading does not say what kind of entity it is
987007550349505171,https://www.nli.org.il/he/authorities/987007550349505171,באדן (גרמניה),Baden (Germany),Q6877935,https://www.wikidata.org/wiki/Q6877935,region,Baden,82727,https://data.geo-kima.org/Places/Details/82727,באדן (גרמניה),Baden (Germany),0,no type recorded in Kima,53.4,145.3,extended-feature,both points lie on the feature — no real move,20260212-20260218,אזור,אזור באדן (גרמניה),באדן (גרמניה : אזור),"באדן, אזור (גרמניה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987007539648705171,https://www.nli.org.il/he/authorities/987007539648705171,מצר קורפו (אלבניה ויוון),Corfu Channel (Albania and Greece),Q891803,https://www.wikidata.org/wiki/Q891803,strait,Straits of Corfu,71167,https://data.geo-kima.org/Places/Details/71167,מצר קורפו (אלבניה ויוון),Corfu Channel (Albania and Greece),0,no type recorded in Kima,22.0,,extended-feature,both points lie on the feature — no real move,20260212-20260218,מיצר,מיצר מצר קורפו (אלבניה ויוון),מצר קורפו (אלבניה ויוון : מיצר),"מצר קורפו, מיצר (אלבניה ויוון)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a strait; the Hebrew heading does not say what kind of entity it is
987007543765305171,https://www.nli.org.il/he/authorities/987007543765305171,סיירה דה קורדובה (ארגנטינה),Sierra de Córdoba (Argentina),Q21841322,https://www.wikidata.org/wiki/Q21841322,mountain range / mountain,Sierra de Córdoba,2427,https://data.geo-kima.org/Places/Details/2427,סיירה דה קורדובה (ארגנטינה),Sierra de Córdoba (Argentina),1,settlement / point feature,87.0,490.0,extended-feature,both points lie on the feature — no real move,20260212-20260218,הרי,הרי סיירה דה קורדובה (ארגנטינה),סיירה דה קורדובה (ארגנטינה : הרי),"סיירה דה קורדובה, הרי (ארגנטינה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a mountain range; the Hebrew heading does not say what kind of entity it is
987007284988905171,https://www.nli.org.il/he/authorities/987007284988905171,קווקז,Caucasus,Q18869,https://www.wikidata.org/wiki/Q18869,region / cultural region,Caucasus,1138,https://data.geo-kima.org/Places/Details/1138,קוקז,Caucasus,0,no type recorded in Kima,76.9,1200.0,extended-feature,both points lie on the feature — no real move,20260219-20260225,אזור,אזור קווקז,קווקז (אזור),"קווקז, אזור",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987007282407005171,https://www.nli.org.il/he/authorities/987007282407005171,בוס (צרפת),Beauce (France),Q61750123,https://www.wikidata.org/wiki/Q61750123,river,Beauce,1757,https://data.geo-kima.org/Places/Details/1757,בוס (צרפת),Beauce (France),1,settlement / point feature,108.2,12.4,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260219-20260225,נהר,נהר בוס (צרפת),בוס (צרפת : נהר),"בוס, נהר (צרפת)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007292839205171,https://www.nli.org.il/he/authorities/987007292839205171,רוב אל-קאלי,Rubʻ al-Khali,Q229269,https://www.wikidata.org/wiki/Q229269,desert,Rub' al Khali,1612,https://data.geo-kima.org/Places/Details/1612,רוב אל-קאלי,Rubʻ al-Khali,2,region / extended feature,152.4,1000.0,extended-feature,both points lie on the feature — no real move,20260219-20260225,מדבר,מדבר רוב אל-קאלי,רוב אל-קאלי (מדבר),"רוב אל-קאלי, מדבר",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a desert; the Hebrew heading does not say what kind of entity it is
987007533703405171,https://www.nli.org.il/he/authorities/987007533703405171,לופטן (נורווגיה),Lofoten (Norway),Q186822,https://www.wikidata.org/wiki/Q186822,island group / archipelago / region,Lofoten,2505,https://data.geo-kima.org/Places/Details/2505,לופטן (נורבגיה),Lofoten (Norway),1,settlement / point feature,36.3,39.5,extended-feature,both points lie on the feature — no real move,20260219-20260225,איים,איים לופטן (נורווגיה),לופטן (נורווגיה : איים),"לופטן, איים (נורווגיה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a island group; the Hebrew heading does not say what kind of entity it is
987007530012605171,https://www.nli.org.il/he/authorities/987007530012605171,כרתלי (גאורגיה),Kartli (Georgia),Q459875,https://www.wikidata.org/wiki/Q459875,historical region,Kartli,4669,https://data.geo-kima.org/Places/Details/4669,כרתלי (גאורגיה),Kartli (Georgia),1,settlement / point feature,72.6,164.8,extended-feature,both points lie on the feature — no real move,20260219-20260225,אזור,אזור כרתלי (גאורגיה),כרתלי (גאורגיה : אזור),"כרתלי, אזור (גאורגיה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a historical region; the Hebrew heading does not say what kind of entity it is
987007536694805171,https://www.nli.org.il/he/authorities/987007536694805171,הפארק הלאומי אמבוסלי (קניה),Amboseli National Park (Kenya),Q458423,https://www.wikidata.org/wiki/Q458423,national park,Amboseli National Park,3425,https://data.geo-kima.org/Places/Details/3425,הפארק הלאומי אמבוסלי (קניה),Amboseli National Park (Kenya),1,settlement / point feature,32.4,22.3,extended-feature,both points lie on the feature — no real move,20260219-20260225,גן לאומי,גן לאומי הפארק הלאומי אמבוסלי (קניה),הפארק הלאומי אמבוסלי (קניה : גן לאומי),"הפארק הלאומי אמבוסלי, גן לאומי (קניה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a national park; the Hebrew heading does not say what kind of entity it is
987007541160505171,https://www.nli.org.il/he/authorities/987007541160505171,מקדוניה (יוון),Macedonia (Greece),Q81734,https://www.wikidata.org/wiki/Q81734,region / historical region / traditional geographic divisions of Greece,Macedonia,2562,https://data.geo-kima.org/Places/Details/2562,מקדוניה (יוון),Macedonia (Greece),1,settlement / point feature,29.1,208.6,extended-feature,both points lie on the feature — no real move,20260219-20260225,אזור,אזור מקדוניה (יוון),מקדוניה (יוון : אזור),"מקדוניה, אזור (יוון)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987007567985505171,https://www.nli.org.il/he/authorities/987007567985505171,קוסטה בראווה (ספרד),Costa Brava (Spain),Q216884,https://www.wikidata.org/wiki/Q216884,coast / tourism region / tourist destination,Costa Brava,1043,https://data.geo-kima.org/Places/Details/1043,קוסטה בראווה (ספרד),Costa Brava (Spain),1,settlement / point feature,33.0,,extended-feature,both points lie on the feature — no real move,20260219-20260225,חוף,חוף קוסטה בראווה (ספרד),קוסטה בראווה (ספרד : חוף),"קוסטה בראווה, חוף (ספרד)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a coast; the Hebrew heading does not say what kind of entity it is
987007551017905171,https://www.nli.org.il/he/authorities/987007551017905171,שוואביה (גרמניה),Swabia (Germany),Q11812551,https://www.wikidata.org/wiki/Q11812551,historical country / duchy / historical region,Swabia,2454,https://data.geo-kima.org/Places/Details/2454,שוואביה (גרמניה),Swabia (Germany),0,no type recorded in Kima,82.9,,extended-feature,both points lie on the feature — no real move,20260219-20260225,אזור,אזור שוואביה (גרמניה),שוואביה (גרמניה : אזור),"שוואביה, אזור (גרמניה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a historical country; the Hebrew heading does not say what kind of entity it is
987007549584205171,https://www.nli.org.il/he/authorities/987007549584205171,קוסטה קלידה (ספרד),Costa Cálida (Spain),Q932376,https://www.wikidata.org/wiki/Q932376,coast / tourism region,Costa Cálida,5478,https://data.geo-kima.org/Places/Details/5478,קוסטה קלידה (ספרד),Costa Cálida (Spain),1,settlement / point feature,22.1,,extended-feature,both points lie on the feature — no real move,20260219-20260225,חוף,חוף קוסטה קלידה (ספרד),קוסטה קלידה (ספרד : חוף),"קוסטה קלידה, חוף (ספרד)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a coast; the Hebrew heading does not say what kind of entity it is
987007537071505171,https://www.nli.org.il/he/authorities/987007537071505171,מתלול מאו (קניה),Mau Escarpment (Kenya),Q6792164,https://www.wikidata.org/wiki/Q6792164,mountain,Mau Escarpment,4946,https://data.geo-kima.org/Places/Details/4946,מתלול מאו (קניה),Mau Escarpment (Kenya),1,settlement / point feature,145.7,,extended-feature,both points lie on the feature — no real move,20260219-20260225,הר,הר מתלול מאו (קניה),מתלול מאו (קניה : הר),"מתלול מאו, הר (קניה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a mountain; the Hebrew heading does not say what kind of entity it is
987007551667905171,https://www.nli.org.il/he/authorities/987007551667905171,פארק לאומי אורוורה (ניו זילנד),Urewera National Park (N.Z.),Q87172,https://www.wikidata.org/wiki/Q87172,protected area / national park / wildlife refuge,Te Urewera National Park,5715,https://data.geo-kima.org/Places/Details/5715,פארק לאומי אורוורה (ניו זילנד),Urewera National Park (N.Z.),1,settlement / point feature,41.2,52.0,extended-feature,both points lie on the feature — no real move,20260219-20260225,שמורה,שמורה פארק לאומי אורוורה (ניו זילנד),פארק לאומי אורוורה (ניו זילנד : שמורה),"פארק לאומי אורוורה, שמורה (ניו זילנד)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a protected area; the Hebrew heading does not say what kind of entity it is
987007551650005171,https://www.nli.org.il/he/authorities/987007551650005171,ארכיפלג טואמוטו (פולינזיה הצרפתית),Tuamotu Archipelago (French Polynesia),Q183963,https://www.wikidata.org/wiki/Q183963,archipelago,Tuamotus,5534,https://data.geo-kima.org/Places/Details/5534,ארכיפלג טואמוטו (פולינזיה הצרפתית),Tuamotu Archipelago (French Polynesia),1,settlement / point feature,123.5,32.9,wd-disagrees,wd-disagrees,20260219-20260225,איים,איים ארכיפלג טואמוטו (פולינזיה הצרפתית),ארכיפלג טואמוטו (פולינזיה הצרפתית : איים),"ארכיפלג טואמוטו, איים (פולינזיה הצרפתית)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a archipelago; the Hebrew heading does not say what kind of entity it is
987007554119405171,https://www.nli.org.il/he/authorities/987007554119405171,וייטנאם הדרומית,"Vietnam, Southern",Q32216479,https://www.wikidata.org/wiki/Q32216479,river,Nam Phán,5867,https://data.geo-kima.org/Places/Details/5867,ויטנם הדרומית,"Vietnam, Southern",2,region / extended feature,1237.0,,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260219-20260225,נהר,נהר וייטנאם הדרומית,וייטנאם הדרומית (נהר),"וייטנאם הדרומית, נהר",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007557936505171,https://www.nli.org.il/he/authorities/987007557936505171,פארק לאומי אטושה (נמיביה),Etosha National Park (Namibia),Q675633,https://www.wikidata.org/wiki/Q675633,national park,Etosha National Park,1410,https://data.geo-kima.org/Places/Details/1410,פארק לאומי אטושה (נמיביה),Etosha National Park (Namibia),1,settlement / point feature,36.6,168.4,extended-feature,both points lie on the feature — no real move,20260219-20260225,גן לאומי,גן לאומי פארק לאומי אטושה (נמיביה),פארק לאומי אטושה (נמיביה : גן לאומי),"פארק לאומי אטושה, גן לאומי (נמיביה)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a national park; the Hebrew heading does not say what kind of entity it is
987007558129105171,https://www.nli.org.il/he/authorities/987007558129105171,נג'ד (ערב הסעודית),Najd (Saudi Arabia),Q208154,https://www.wikidata.org/wiki/Q208154,province / historical region,Najd,2946,https://data.geo-kima.org/Places/Details/2946,נג'ד (ערב הסעודית),Najd (Saudi Arabia),1,settlement / point feature,121.3,,extended-feature,both points lie on the feature — no real move,20260219-20260225,אזור,אזור נג'ד (ערב הסעודית),נג'ד (ערב הסעודית : אזור),"נג'ד, אזור (ערב הסעודית)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a province; the Hebrew heading does not say what kind of entity it is
987007293827905171,https://www.nli.org.il/he/authorities/987007293827905171,אפריקה הצפונית,"Africa, North",Q27381,https://www.wikidata.org/wiki/Q27381,region / cultural region,North Africa,1584,https://data.geo-kima.org/Places/Details/1584,אפריקה הצפונית,"Africa, North",2,region / extended feature,4047.4,6451.3,extended-feature,both points lie on the feature — no real move,20260521-20260527,אזור,אזור אפריקה הצפונית,אפריקה הצפונית (אזור),"אפריקה הצפונית, אזור",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a region; the Hebrew heading does not say what kind of entity it is
987007294865405171,https://www.nli.org.il/he/authorities/987007294865405171,אמו דריה,Amu Darya,Q8493,https://www.wikidata.org/wiki/Q8493,river,Amu Darya,1885,https://data.geo-kima.org/Places/Details/1885,אמו דריה,Amu Darya,0,no type recorded in Kima,1072.7,2620.0,extended-feature,both points lie on the feature — no real move,20260701-20260707,נהר,נהר אמו דריה,אמו דריה (נהר),"אמו דריה, נהר",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a river; the Hebrew heading does not say what kind of entity it is
987007562204705171,https://www.nli.org.il/he/authorities/987007562204705171,ליקיה,Lycia,Q18927,https://www.wikidata.org/wiki/Q18927,landscape / historical region,Lycia,14134,https://data.geo-kima.org/Places/Details/14134,ליקיה,Lycia,0,no type recorded in Kima,213.9,,homonym,two same-named places; which one did NLI mean,20260727-20260727,אזור,אזור ליקיה,ליקיה (אזור),"ליקיה, אזור",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a landscape; the Hebrew heading does not say what kind of entity it is
987007567629005171,https://www.nli.org.il/he/authorities/987007567629005171,פרובישר ביי (הטריטוריות הצפון-מערביות),Frobisher Bay (N.W.T.),Q1004067,https://www.wikidata.org/wiki/Q1004067,bay,Frobisher Bay,17951,https://data.geo-kima.org/Places/Details/17951,פרובישר ביי (טריטוריה הצפון-מערבית),Frobisher Bay (N.W.T.),1,settlement / point feature,138.6,265.0,extended-feature,both points lie on the feature — no real move,20260727-20260727,מפרץ,מפרץ פרובישר ביי (הטריטוריות הצפון-מערביות),פרובישר ביי (הטריטוריות הצפון-מערביות : מפרץ),"פרובישר ביי, מפרץ (הטריטוריות הצפון-מערביות)",prefix form proposed — it is NLI's dominant practice (214 of 234 headings); the alternatives are shown for comparison,2,region / extended feature,Roman heading and Wikidata both say this is a bay; the Hebrew heading does not say what kind of entity it is
