nli_id,nli_url,heb_heading,rom_heading,wikidata,wikidata_url,wikidata_says,wikidata_label,kima_id,kima_url,kima_heb,kima_rom,kima_location_type_id,kima_location_type_meaning,distance_km,feature_extent_km,classifier_bucket,classifier_bucket_meaning,period,why,roman_tier_word,roman_tier_meaning,proposed_he_tier,proposed_heb_heading,vocabulary_status
987007564339005171,https://www.nli.org.il/he/authorities/987007564339005171,בוליבר (קולומביה : מחוז),Bolívar (Colombia : Department),Q230597,https://www.wikidata.org/wiki/Q230597,department of Colombia,Bolívar Department,7845,https://data.geo-kima.org/Places/Details/7845,בוליבר (קולומביה : מחוז),Bolívar (Colombia : Dept.),2,region / extended feature,3105.5,181.9,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260727-20260727,Wikidata calls this an administrative division (department of Colombia); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,department,the Roman heading names the administrative tier; the Hebrew does not,מחוז,בוליבר (קולומביה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007560017005171,https://www.nli.org.il/he/authorities/987007560017005171,לוגאר (אפגניסטן),Lowgar (Afghanistan),Q8480,https://www.wikidata.org/wiki/Q8480,province of Afghanistan / river,Logar River,15123,https://data.geo-kima.org/Places/Details/15123,לוגאר (אפגניסטן),Lowgar (Afghanistan),1,settlement / point feature,60.5,70.3,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of Afghanistan / river); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,לוגאר (אפגניסטן : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567022305171,https://www.nli.org.il/he/authorities/987007567022305171,הטריטוריות הצפון-מערביות (קנדה),Northwest Territories,Q2007,https://www.wikidata.org/wiki/Q2007,territory of Canada,Northwest Territories,14586,https://data.geo-kima.org/Places/Details/14586,הטריטוריות הצפון-מערביות (קנדה),Northwest Territories,2,region / extended feature,142.2,1309.2,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (territory of Canada); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,territory,the Roman heading names the administrative tier; the Hebrew does not,טריטוריה,הטריטוריות הצפון-מערביות (קנדה : טריטוריה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007564587605171,https://www.nli.org.il/he/authorities/987007564587605171,פרובינציה צפון מערב (קמרון),North-West Province (Cameroon),Q823946,https://www.wikidata.org/wiki/Q823946,region of Cameroon / electoral unit,Northwest,10945,https://data.geo-kima.org/Places/Details/10945,מחוז צפון מערב (קמרון),North-West Province (Cameroon),1,settlement / point feature,56.5,148.4,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (region of Cameroon / electoral unit); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,פרובינציה צפון מערב (קמרון : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007562308905171,https://www.nli.org.il/he/authorities/987007562308905171,פרובינציה מילן ביי (פפואה גינאה החדשה),Milne Bay Province (Papua New Guinea),Q874962,https://www.wikidata.org/wiki/Q874962,province of Papua New Guinea,Milne Bay Province,15374,https://data.geo-kima.org/Places/Details/15374,מחוז מילן ביי (פפואה גינאה החדשה),Milne Bay Province (Papua New Guinea),1,settlement / point feature,35.3,135.1,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of Papua New Guinea); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,פרובינציה מילן ביי (פפואה גינאה החדשה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007562000805171,https://www.nli.org.il/he/authorities/987007562000805171,מחוז דונה אנה (ניו מקסיקו),Doña Ana County (N.M.),Q112953,https://www.wikidata.org/wiki/Q112953,county of New Mexico,Doña Ana County,11287,https://data.geo-kima.org/Places/Details/11287,מחוז דונה אנה (ניו מקסיקו),Doña Ana County (N.M.),1,settlement / point feature,85.3,112.2,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (county of New Mexico); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,county,the Roman heading names the administrative tier; the Hebrew does not,נפה,דונה אנה (ניו מקסיקו : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567035605171,https://www.nli.org.il/he/authorities/987007567035605171,מחוז מבולו (טנזניה),Mbulu District (Tanzania),Q1009154,https://www.wikidata.org/wiki/Q1009154,district of Tanzania,Mbulu District,14593,https://data.geo-kima.org/Places/Details/14593,מחוז מבולו (טנזניה),Mbulu District (Tanzania),1,settlement / point feature,22.4,61.3,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (district of Tanzania); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,district,the Roman heading names the administrative tier; the Hebrew does not,נפה,מבולו (טנזניה : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567509405171,https://www.nli.org.il/he/authorities/987007567509405171,פרובינציה מזרח בריטניה החדש (פפואה גינאה החדשה),East New Britain Province (Papua New Guinea),Q753702,https://www.wikidata.org/wiki/Q753702,province of Papua New Guinea,East New Britain Province,17680,https://data.geo-kima.org/Places/Details/17680,מחוז מזרח בריטניה החדש (פפואה גינאה החדשה),East New Britain Province (Papua New Guinea),1,settlement / point feature,220.5,141.5,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260727-20260727,Wikidata calls this an administrative division (province of Papua New Guinea); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,פרובינציה מזרח בריטניה החדש (פפואה גינאה החדשה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567510605171,https://www.nli.org.il/he/authorities/987007567510605171,פרובינציה מערב ניו בריטן (פפואה גינאה החדשה),West New Britain Province (Papua New Guinea),Q667468,https://www.wikidata.org/wiki/Q667468,province of Papua New Guinea,West New Britain Province,17681,https://data.geo-kima.org/Places/Details/17681,מחוז מערב ניו בריטן (פפואה גינאה החדשה),West New Britain Province (Papua New Guinea),1,settlement / point feature,104.1,161.1,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of Papua New Guinea); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,פרובינציה מערב ניו בריטן (פפואה גינאה החדשה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567497705171,https://www.nli.org.il/he/authorities/987007567497705171,נורד-קיוו (קונגו),Nord-Kivu (Congo),Q130625,https://www.wikidata.org/wiki/Q130625,province of the Democratic Republic of the Congo,North Kivu,17708,https://data.geo-kima.org/Places/Details/17708,נורד-קיוו (קונגו),Nord-Kivu (Congo),1,settlement / point feature,125.2,275.2,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of the Democratic Republic of the Congo); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,נורד-קיוו (קונגו : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007560357105171,https://www.nli.org.il/he/authorities/987007560357105171,מחוז טיבט מולי (סין),Muli Zangzu Zizhixian (China),Q28794767,https://www.wikidata.org/wiki/Q28794767,autonomous county,Muli Zangzu Zizhixian,16174,https://data.geo-kima.org/Places/Details/16174,מחוז טיבט מולי (סין),Muli Zangzu Zizhixian (China),1,settlement / point feature,71.6,129.7,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (autonomous county); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,,no tier word found,,,"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566846305171,https://www.nli.org.il/he/authorities/987007566846305171,מחוז יומה (אריזונה),Yuma County (Ariz.),Q58698,https://www.wikidata.org/wiki/Q58698,county of Arizona,Yuma County,84300,https://data.geo-kima.org/Places/Details/84300,מחוז יומה (אריזונה),Yuma County (Ariz.),0,no type recorded in Kima,20.5,134.9,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (county of Arizona); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,county,the Roman heading names the administrative tier; the Hebrew does not,נפה,יומה (אריזונה : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567531005171,https://www.nli.org.il/he/authorities/987007567531005171,מהאג'אנגה (מדגסקר : פרובינציה),Mahajanga (Madagascar : Province),Q669259,https://www.wikidata.org/wiki/Q669259,province of Madagascar,Mahajanga Province,16341,https://data.geo-kima.org/Places/Details/16341,מהאג'אנגה (מדגסקר : פרובינציה),Mahajanga (Madagascar : Province),2,region / extended feature,84.5,437.1,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of Madagascar); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,מהאג'אנגה (מדגסקר : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566691205171,https://www.nli.org.il/he/authorities/987007566691205171,צ'ונג-צ'ונג-נמדו (קוריאה),Ch'ungch'ŏng-namdo (Korea),Q41070,https://www.wikidata.org/wiki/Q41070,province of South Korea,,11771,https://data.geo-kima.org/Places/Details/11771,צ'ונג-צ'ונג-נמדו (קוריאה),Chʻungchʻŏng-namdo (Korea),0,no type recorded in Kima,22.3,102.2,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of South Korea); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,צ'ונג-צ'ונג-נמדו (קוריאה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566928005171,https://www.nli.org.il/he/authorities/987007566928005171,המחוז היהודי האוטונומי (רוסיה),Evreĭskai︠a︡ avtonomnai︠a︡ oblastʹ (Russia),Q7730,https://www.wikidata.org/wiki/Q7730,autonomous oblast of Russia / federal subject of Russia,Jewish Autonomous Oblast,13615,https://data.geo-kima.org/Places/Details/13615,המחוז היהודי האוטונומי (רוסיה),Evreĭskai︠a︡ avtonomnai︠a︡ oblastʹ (Russia),1,settlement / point feature,67.5,214.9,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (autonomous oblast of Russia / federal subject of Russia); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,oblastʹ,the Roman heading names the administrative tier; the Hebrew does not,מחוז,המחוז היהודי האוטונומי (רוסיה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007561967105171,https://www.nli.org.il/he/authorities/987007561967105171,מדינת בורנו (ניגריה),Borno State (Nigeria),Q130626,https://www.wikidata.org/wiki/Q130626,state of Nigeria,Borno State,6206,https://data.geo-kima.org/Places/Details/6206,בורנו (ניגריה : מדינה),Borno State (Nigeria),1,settlement / point feature,66.4,300.4,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (state of Nigeria); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,state,the Roman heading names the administrative tier; the Hebrew does not,מדינה,מדינת בורנו (ניגריה : מדינה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566846705171,https://www.nli.org.il/he/authorities/987007566846705171,מחוז ריאזן (רוסיה),Ri︠a︡zanskai︠a︡ oblastʹ (Russia),Q2746,https://www.wikidata.org/wiki/Q2746,oblast of Russia / federal subject of Russia / administrative divisions of Russia / big city / city or town,Ryazan,10167,https://data.geo-kima.org/Places/Details/10167,מחוז ריאזן (רוסיה),Riazanskaia oblast (Russia),1,settlement / point feature,65.0,224.5,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (oblast of Russia / federal subject of Russia / administrative divisions of Russia / big city / city or town); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,oblastʹ,the Roman heading names the administrative tier; the Hebrew does not,מחוז,ריאזן (רוסיה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566848205171,https://www.nli.org.il/he/authorities/987007566848205171,מחוז סן חואן (ניו מקסיקו),San Juan County (N.M.),Q156265,https://www.wikidata.org/wiki/Q156265,county of New Mexico,,10186,https://data.geo-kima.org/Places/Details/10186,מחוז סן חואן (ניו מקסיקו),San Juan County (N.M.),0,no type recorded in Kima,84.2,134.8,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (county of New Mexico); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,county,the Roman heading names the administrative tier; the Hebrew does not,נפה,סן חואן (ניו מקסיקו : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567164205171,https://www.nli.org.il/he/authorities/987007567164205171,מחוז אוטונומי קיאנדונגנם מייאוזו דונגזו (סין),Qiandongnan Miaozu Dongzu Zizhizhou (China),Q770297,https://www.wikidata.org/wiki/Q770297,autonomous prefecture,Qiandongnan Miao and Dong Autonomous Prefecture,75644,https://data.geo-kima.org/Places/Details/75644,מחוז אוטונומי קיאנדונגנם מייאוזו דונגזו (סין),Qiandongnan Miaozu Dongzu Zizhizhou (China),0,no type recorded in Kima,62.1,196.4,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (autonomous prefecture); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,,no tier word found,,,"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567229305171,https://www.nli.org.il/he/authorities/987007567229305171,ג'אלוואר (הודו : מחוז),Jhalawar (India : District),Q1471417,https://www.wikidata.org/wiki/Q1471417,district of India,Jhalawar district,16545,https://data.geo-kima.org/Places/Details/16545,ג'אלוואר (הודו : מחוז),Jhalawar (India : District),2,region / extended feature,22.8,,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (district of India); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,district,the Roman heading names the administrative tier; the Hebrew does not,נפה,ג'אלוואר (הודו : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007562453005171,https://www.nli.org.il/he/authorities/987007562453005171,קירואן (תוניסיה : פרובינציה),Qayrawān (Tunisia : Province),Q276574,https://www.wikidata.org/wiki/Q276574,governorate of Tunisia,Kairouan Governorate,83853,https://data.geo-kima.org/Places/Details/83853,קירואן (תוניסיה : פרובינציה),Qayrawān (Tunisia : Province),0,no type recorded in Kima,25.8,92.4,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (governorate of Tunisia); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,קירואן (תוניסיה : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007564668505171,https://www.nli.org.il/he/authorities/987007564668505171,אנז'ו (צרפת),Anjou (France),Q107426,https://www.wikidata.org/wiki/Q107426,historical province of France,Anjou,14733,https://data.geo-kima.org/Places/Details/14733,אנז'ו (צרפת),Anjou (France),1,settlement / point feature,478.3,,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20260727-20260727,Wikidata calls this an administrative division (historical province of France); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,אנז'ו (צרפת : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007566859705171,https://www.nli.org.il/he/authorities/987007566859705171,טרואל (ספרד : פרובינציה),Teruel (Spain : Province),Q163303,https://www.wikidata.org/wiki/Q163303,province of Spain / comarca of Aragon,Teruel Community,10842,https://data.geo-kima.org/Places/Details/10842,טרואל (ספרד : פרובינציה),Teruel (Spain : Province),2,region / extended feature,45.3,137.3,extended-feature,both points lie on the feature — no real move,20260727-20260727,Wikidata calls this an administrative division (province of Spain / comarca of Aragon); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,טרואל (ספרד : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007565081505171,https://www.nli.org.il/he/authorities/987007565081505171,סטארה (הודו : מחוז),Satara (India : District),Q1135612,https://www.wikidata.org/wiki/Q1135612,district of India,Satara district,16767,https://data.geo-kima.org/Places/Details/16767,סטארה (הודו : מחוז),Satara (India : District),2,region / extended feature,22.2,115.5,extended-feature,both points lie on the feature — no real move,20260728-20260803,Wikidata calls this an administrative division (district of India); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,district,the Roman heading names the administrative tier; the Hebrew does not,נפה,סטארה (הודו : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007562576505171,https://www.nli.org.il/he/authorities/987007562576505171,דאקלאק (וייטנאם : פרובינציה),Đắk Lắk (Vietnam : Province),Q36690,https://www.wikidata.org/wiki/Q36690,province of Vietnam,Đắk Lắk,72341,https://data.geo-kima.org/Places/Details/72341,דאקלאק (וייטנאם : פרובינציה),Đắk Lắk (Vietnam : Province),0,no type recorded in Kima,23.6,151.8,extended-feature,both points lie on the feature — no real move,20260728-20260803,Wikidata calls this an administrative division (province of Vietnam); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,דאקלאק (וייטנאם : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007567614305171,https://www.nli.org.il/he/authorities/987007567614305171,מניימה (קונגו),Maniema (Congo),Q130566,https://www.wikidata.org/wiki/Q130566,province of the Democratic Republic of the Congo,Maniema,17961,https://data.geo-kima.org/Places/Details/17961,מניימה (קונגו),Maniema (Congo),1,settlement / point feature,354.0,410.8,extended-feature,both points lie on the feature — no real move,20260728-20260803,Wikidata calls this an administrative division (province of the Democratic Republic of the Congo); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,province,the Roman heading names the administrative tier; the Hebrew does not,מחוז,מניימה (קונגו : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007562239605171,https://www.nli.org.il/he/authorities/987007562239605171,מחוז פבלודר (קזחסטן),Pavlodar oblysy (Kazakhstan),Q486144,https://www.wikidata.org/wiki/Q486144,region of Kazakhstan,Pavlodar Region,14748,https://data.geo-kima.org/Places/Details/14748,מחוז פבלודר (קזחסטן),Pavlodar oblysy (Kazakhstan),1,settlement / point feature,72.9,398.6,extended-feature,both points lie on the feature — no real move,20260728-20260803,Wikidata calls this an administrative division (region of Kazakhstan); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,region,the Roman heading names the administrative tier; the Hebrew does not,מחוז,פבלודר (קזחסטן : מחוז),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
987007562083805171,https://www.nli.org.il/he/authorities/987007562083805171,מחוז מקינלי (ניו מקסיקו),McKinley County (N.M.),Q493250,https://www.wikidata.org/wiki/Q493250,county of New Mexico,McKinley County,8897,https://data.geo-kima.org/Places/Details/8897,מחוז מקינלי (ניו מקסיקו),McKinley County (N.M.),1,settlement / point feature,78.4,134.1,extended-feature,both points lie on the feature — no real move,20260728-20260803,Wikidata calls this an administrative division (county of New Mexico); the Roman heading names the tier and the Hebrew does not — same pattern as Part 2,county,the Roman heading names the administrative tier; the Hebrew does not,נפה,מקינלי (ניו מקסיקו : נפה),"WORKING ASSUMPTION — tier-vocabulary.md 3a, not yet settled"
